name,address,lat,lon,note,google_maps_url,feature_id,kg_id,added_by,list_title,list_id,emoji,category,status,source_lists,source_list_ids,tourism_tier,drop_reason
U-Haul Moving & Storage of Calgary,"6315 36 St SE, Calgary, AB T2C 2C4",50.997174,-113.9811299,,https://www.google.com/maps?ftid=0x53717b93350d5853:0xfcd4c08361d88234,0x53717b93350d5853:0xfcd4c08361d88234,/g/11h0b7dc_4,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Ulleungdo,,37.5063677,130.8571536,,https://www.google.com/maps?ftid=0x5fe0450f9bc93579:0x5fb137bda35e5cb1,0x5fe0450f9bc93579:0x5fb137bda35e5cb1,/m/0431p5,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
"Unnamed place (50.50210, 4.10991)",,50.5021007,4.1099093,,https://www.google.com/maps?ftid=0x47c249bc0185c597:0x9f1ad65b2df3e6eb,0x47c249bc0185c597:0x9f1ad65b2df3e6eb,,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Unnamed Road,"Unnamed Road, Oshawa, ON L1J 1N6, Canada",43.868669399999995,-78.859657,,https://www.google.com/maps?ftid=0x89d51d421fc235e7:0xb874a2db6a97c3cf,0x89d51d421fc235e7:0xb874a2db6a97c3cf,/g/11ghznwbbn,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
USS Constitution,"93 Chelsea St, Charlestown, MA 02129, United States",42.3724718,-71.0566113,,https://www.google.com/maps?ftid=0x89e371c1d3418353:0x569bc2c0a80c542c,0x89e371c1d3418353:0x569bc2c0a80c542c,/m/07y14,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Uyuni Salt Flat,"Uyuni Salt Flat, Bolivia",-20.1337772,-67.48913449999999,,https://www.google.com/maps?ftid=0x915584b325e18bd7:0xce4183a158278b6,0x915584b325e18bd7:0xce4183a158278b6,/m/01cbcv,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Val-d'Isère,"73150 Val-d'Isère, France",45.449069099999996,6.9797272999999995,,https://www.google.com/maps?ftid=0x47890909fd5ffb93:0x408ab2ae4baa830,0x47890909fd5ffb93:0x408ab2ae4baa830,/m/01z38z,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Venediger Lodge,"Marktstraße 64, 5740 Neukirchen am Großvenediger, Austria",47.253723699999995,12.2785491,,https://www.google.com/maps?ftid=0x4777ba865b9e25a3:0x65d58e33b6b7219f,0x4777ba865b9e25a3:0x65d58e33b6b7219f,/g/11hzsvplsn,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Vieil La Turbie,"15-19 Rue Droite, 06320 La Turbie, France",43.7457753,7.4004696,,https://www.google.com/maps?ftid=0x12cdc3f4c9f9bd69:0x36ec4a4120129f2e,0x12cdc3f4c9f9bd69:0x36ec4a4120129f2e,/g/11jpwsrgkr,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Visites guidées au village médiéval,"Pl. des 2 Frères, 06190 Roquebrune-Cap-Martin, France",43.7651919,7.4588608,,https://www.google.com/maps?ftid=0x12cde959e2a2640d:0xba5a5e1328794557,0x12cde959e2a2640d:0xba5a5e1328794557,/g/11stgqx484,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Volk's Electric Railway,,50.8189618,-0.13293159999999998,,https://www.google.com/maps?ftid=0x4875858c039b31d7:0xd9f871ade82cfc60,0x4875858c039b31d7:0xd9f871ade82cfc60,,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Vorderer Gosausee,"Austria, Gosauseen, 4825",47.5282948,13.5070648,,https://www.google.com/maps?ftid=0x4776cb604e6fb2b7:0x27a88c5e97f70f10,0x4776cb604e6fb2b7:0x27a88c5e97f70f10,/g/11gv12f047,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Wan Chai,Wan Chai,22.276021999999998,114.17514709999999,,https://www.google.com/maps?ftid=0x3404005b7e61fe79:0x242571e635c3d8ee,0x3404005b7e61fe79:0x242571e635c3d8ee,/m/015_m0,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
War,"War, WV 24892, USA",37.3012246,-81.69094249999999,,https://www.google.com/maps?ftid=0x884fc88807d80a95:0x41b845346c77d531,0x884fc88807d80a95:0x41b845346c77d531,/m/010xt5,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Wascana Trails,"Lumsden, SK S0G 3C0",50.5563065,-104.8463488,,https://www.google.com/maps?ftid=0x531c055a53538c11:0x59888fe94bd9851c,0x531c055a53538c11:0x59888fe94bd9851c,/m/03czdyb,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
